name,name_norm,country,lei,wikidata_qid,alias1,alias2,alias3,alias4,alias5,address,city,postal_code,source
Zemedelske obchodni druzstvo druzstvo,zemedelske obchodni druzstvo druzstvo,CZ,315700HHLO7B0ZRR7L65,,,,,,,36,Šebkovice,675 45,GLEIF
VISTA ENERGY INTERNATIONAL S A,vista energy international s a,UY,984500542B2FBCL2BD50,,,,,,,BONAVITA LUIS 1294,MONTEVIDEO,11300,GLEIF
Rietberg-Van Beek B V,rietberg-van beek b v,NL,7245007ACW6OW6V9OX26,,,,,,,Westerakker 17,Oldebroek,8096MP,GLEIF
KRANTI MERCANTILE LIMITED,kranti mercantile,IN,9845008EEA70060FG043,,,,,,,"B-20, Regency Plaza, Kalyan, Ulhasnagar-2, Kalyan",Thane,421002,GLEIF
ULTRASOUND CAPITAL NPIF SICAV P L C,ultrasound capital npif sicav p l c,MT,213800DEYEMUZNF1DN25,,,,,,,NU BIS CENTRE MOSTA ROAD,LIJA,LJA9012,GLEIF
Ellington PRIME Main Master Fund LP,ellington prime main master fund,KY,254900GDYX029KHSRZ29,,,,,,,C/O Walkers Corporate Limited 190 Elgin Avenue Grand Cayman,George Town,KY1-9008,GLEIF
-,-,AE,529900XHJ9DSK6OC4L13,,,,,,,"Meydan Grandstand, 6th floor, Meydan Road, Nad Al Sheba",Dubai,,GLEIF
DROIT INFRATECH,droit infratech,IN,9845000462EK68F13P19,,,,,,,"4TH FLOOR, UNIT-4, 3A, RAIKVA BUILDING, RAM MOHAN MULLICK GARDEN LANE Beliaghata",KOLKATA,700010,GLEIF
EDIL SCAVI TORRE S R L DI LONGHI MORIS LUIGI & C,edil scavi torre s r l di longhi moris luigi & c,IT,815600AE02B2F2FDC940,,,,,,,"VIA PAPA GIOVANNI XXIII, 20",TORRE PALLAVICINA,24050,GLEIF
KARTIKEYE TAPES PRIVATE LIMITED,kartikeye tapes private,IN,3358005JC4J22T44YY87,,,,,,,"PLOT NO. 3, SURVEY. NO. 198, CHAMUNDA COMPOUND, NR. KIRAN DYEING, UDH ANA ,",SURAT,394210,GLEIF
HASTIN MARKETING PRIVATE LIMITED,hastin marketing private,IN,254900056WZHXQKNY929,,,,,,,"Flat No 211, Second Floor Hemkunt Chambers, 89 Nehru Place South Delhi",New Delhi,110019,GLEIF
RATHORE TRAVELS AGENCY,rathore travels agency,IN,335800IKSVKNS6PU6V65,,,,,,,"QTR NO10, RATHORE TRAVELS AGENCY, STADIUM ROAD, NEAR NAGAR NIGAM,",BIKANER,334001,GLEIF
Golden Nugget Investment Club,golden nugget investment club,GB,6488X38PJU4R32ZZ6081,,,,,,,6 Stanley Close,Coulsdon,CR5 2LN,GLEIF
MEREAU HOLDING,mereau holding,FR,969500XKRNMWXBKL4S56,,,,,,,6 RUE CADERAT,CHAZELLES-SUR-LYON,42140,GLEIF
CTS S R L,cts s r l,IT,98450087FB48614E9925,,,,,,,CENTRO DIREZIONALE IS E/7 SNC,NAPOLI,80143,GLEIF
Tirilan Iskender Oy,tirilan iskender,FI,8945006G1G5QZOQZKA41,,,,,,,Nosturinkatu 2,Lappeenranta,53300,GLEIF
JACQUES VAN DEN ABEELE BEDRIJFSREVISOR,jacques van den abeele bedrijfsrevisor,BE,6488MC55T1W58NO12J74,,,,,,,Katveld 12A,Sint-Lievens-Houtem,9520,GLEIF
SHANTANU KALIA,shantanu kalia,IN,9845002FDA1DC73M2F94,,,,,,,"VILLAGE DHAROUR,BACKSIDE BILLSON,, SAHNEWAL, DEHLON ROAD",Ludhiana,141120,GLEIF
Kerkfabriek Sint-Servatius VL - Grimbergen,kerkfabriek sint-servatius vl - grimbergen,BE,699400YSLYU9Q1GV1Z65,,,,,,,Kerkplein 1,Grimbergen,1850,GLEIF
AHAAN ENTERPRISES,ahaan enterprises,IN,335800Q5SW5B6A3OGD07,,,,,,,"139, PHADNIS COLONY FLAT NO. 104 KRISHNA CLASSIC BUILDING AB ROAD AXIS BANK, RSS NAGAR",INDORE,452001,GLEIF
RAHI WAREHOUSING LLP,rahi warehousing llp,IN,335800CXFCVNH4CEEF13,,,,,,,"134, 1ST FLOOR, KT PLAZA SHOPPING CENTRE FUVARA CHAR RASTA GANDHI ROAD KALUPUR POLICE STATION",AHMEDABAD,380001,GLEIF
ONEFIC LIMITED,onefic,GB,213800W64HNYAVMUYC37,,,,,,,31 WELLINGTON ROAD,NANTWICH,CW5 7ED,GLEIF
Wosk Holding AB,wosk holding,SE,6367008PCFIVGARCFC05,,,,,,,Birger Dahlerus väg 8 A,Järfälla,176 69,GLEIF
ANIL GUPTA,anil gupta,IN,9845005B4476E9F72T90,,,,,,,"499/1, 80 Feet Road, kalkere main road",Bengaluru Urban,560043,GLEIF
JPMORGAN TAIWAN U S TECH LEADERS ACTIVE ETF,jpmorgan taiwan u s tech leaders active etf,TW,21380018QLIL5IWRDW13,,,,,,,C/O JPMORGAN ASSET MANAGEMENT (TAIWAN) LIMITED 20TH FLOOR 1 SONGZHI ROAD XINYI DISTRICT,TAIPEI,11047,GLEIF
AXEN&GU CONSEIL,axen&gu conseil,FR,969500VGODHHSMIJ8624,,,,,,,85 BOULEVARD PASTEUR,PARIS,75015,GLEIF
Tamur Limited,tamur,CA,254900GFMGXQ9V0S6823,,,,,,,c/o Tammy Lynn Downs 12 Trumour Court,Markham,L3R 1Y9,GLEIF
GESFINU SGPS S A,gesfinu sgps s a,PT,8945007Q8CW2I3QRUY22,,,,,,,Av. Villagarcia de Arosa 1919,Matosinhos,4460-439,GLEIF
Togiar OU,togiar ou,EE,984500FB91EEEC1EFD29,,,,,,,Pärnamõisa Linaküla,Kihnu,88003,GLEIF
CHANDRAMANI HOSPITAL,chandramani hospital,IN,98450050EDNB9F42BA78,,,,,,,"NILAMBAG SOCIETY, NR, SPEED POST OFFICE, GIRDHARNAGAR SHAHIBAUG",AHMEDABAD,380004,GLEIF
FELTEN Beheer B V,felten beheer b v,NL,7245006KFCSE9W81CG61,,,,,,,Dalem 12,Hapert,5527JG,GLEIF
MRM Construction,mrm construction,IN,6367007Y8NHJLKDFDL09,,,,,,,"184/1 Thakkolam Koot Road, Parameshwaramangalam",Chennai,631151,GLEIF
SUKHMEET SINGH,sukhmeet singh,IN,9845003A9D58FX43FE50,,,,,,,"VILLAGE BAHADURKE, HARKRISHAN KNITWEARS, BAHADURKE ROAD",LUDHIANA,141008,GLEIF
SREOT GUIDANCE BORROWER LLC,sreot guidance borrower,US,254900S9QP0ADGXSVO84,,,,,,,C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE,WILMINGTON,19808,GLEIF
Glkennis B V,glkennis b v,NL,724500H4JJHKTDO15V30,,,,,,,Atalanta 44,Rijen,5121MS,GLEIF
KRISTIANS EIENDOM AS,kristians eiendom,NO,8945008UF37G48V9MY22,,,,,,,Tinnheiveien 7,KRISTIANSAND S,4629,GLEIF
ANUJ BANSAL,anuj bansal,IN,984500E6G94CEE9D2D10,,,,,,,"3581/4, Ground Floor, NARANG COLONY, TRI NAGAR",Delhi,110035,GLEIF
Ajit Electrical Works,ajit electrical works,IN,6488DZ699TU2U00Y6L90,,,,,,,"SHOP NO. 20, ASHOKA VIHAR XLO POINT, AMBAD LINK ROAD AMBAD, Maharashtra",Nashik,422010,GLEIF
FROZEN AND FREEZE COLD STORAGE LLP,frozen and freeze cold storage llp,IN,335800DOI3I7BWXWQR98,,,,,,,"G-803, SHALIGRAM LAKEVIEWNR. VAISHNODEVI TEMPLE, GANDHI NAGAR, GANDHINAGAR, GUJARAT, INDIA,",GANDHINAGAR,382421,GLEIF
LYCAMOBILE S R L,lycamobile s r l,IT,815600E4CD7F20557462,,,,,,,"VIA DI VALLE LUPARA, 10",ROMA,00148,GLEIF
CENTRO DE TURISMO RURAL EL ENEBRAL S L,centro de turismo rural el enebral s l,ES,959800AR7SD3T8634M11,,,,,,,CAMINO DE LA PINILLA S/N,Santo Tomé del Puerto,40590,GLEIF
Lukas Gehrer Digital GmbH,lukas gehrer digital,AT,529900H7OB1MKXOJ7W55,,,,,,,Schwalbenweg 8,Höchst,6973,GLEIF
NEMI PREM INDIA PRIVATE LIMITED,nemi prem india private,IN,64889E1N9LR373E7ZG75,,,,,,,"Ward No. 25, Mehta Bhawan, Oswali Mohalla, Madanganj Kishangarh Rajasthan",Ajmer,305801,GLEIF
EYSUN INDIA PRIVATE LIMITED,eysun india private,IN,335800DPDGC47YE64T77,,,,,,,BUILDING NO.667 FABI BUILDING AYOOR P O,KOLLAM,691533,GLEIF
run dc run BV,run dc run,BE,894500727N8AX09LSA64,,,,,,,Jagerslei 5,Kapellen,2950,GLEIF
HOTEL SAI DARBAR,hotel sai darbar,IN,89450093NO5IF4O0WA36,,,,,,,"AGRA ROAD, POST VASIND,","SHAHAPUR, SARAMAL, VASIND",421604,GLEIF
AGIS holding s r o,agis holding s r o,CZ,315700THGK9BB86N5S57,,,,,,,Jaroslava Průchy 1682/1,Most,434 01,GLEIF
RURAL HEALTHCARE INNOVATIONS,rural healthcare innovations,CA,984500B11A5850A2BM20,,,,,,,533 Clarence Street,Winchester,K0C 2K0,GLEIF
UNIVERSITY TRUCKING LLC,university trucking,US,254900AB3T180RNQOS90,,,,,,,C/O DINSMORE AGENT CO. 191 W. NATIONWIDE BLVD. STE. 300,COLUMBUS,43215,GLEIF
SHIVAM GARG,shivam garg,IN,6488O8K8G675NNT41F69,,,,,,,"ADJOINING HI-TECH INTERNATIONAL, VILLAGE RAMGARH ROAD Sahnewal, Punjab",Ludhiana,141120,GLEIF
SIA BDF Agency,sia bdf agency,LV,6488W4EXN2Y589E15T90,,,,,,,Sietnieku iela 3-1,Mārupe,LV-2167,GLEIF
RENAISSANCE FITTINGS & PIPING INC,renaissance fittings & piping,IN,8945006RQPW3I9TTAI72,,,,,,,"GROUND FLOOR, 67, BALDEVJI MANDIR, KIKA STREEТ, GIRGAON",Mumbai,400004,GLEIF
